ticker,feature,coef_std,odds_ratio_1sd,abs_coef_std
XLB,d_theta,-0.14987152276122268,0.8608185649131622,0.14987152276122268
XLB,d_amp_z,-0.1304477561004761,0.8777023463441423,0.1304477561004761
XLB,viscosity,-0.1264992969782373,0.8811747690283371,0.1264992969782373
XLB,causal_run_length,0.06839225581035001,1.0707852478466662,0.06839225581035001
XLB,sigma_local,-0.006315606431950633,0.99370429509158,0.006315606431950633
XLE,amp_z,1.2781398644177848,3.589955706557423,1.2781398644177848
XLE,d_viscosity,0.8999980815380741,2.4595983925065545,0.8999980815380741
XLE,viscosity,-0.5573728856710018,0.5727116682578787,0.5573728856710018
XLE,sigma_local,-0.2939905966186064,0.7452834995953315,0.2939905966186064
XLE,d_causal_theta_so_far,0.26742887000134136,1.3066006880254653,0.26742887000134136
XLE,d_sigma_local,-0.24524592646388427,0.782512074149489,0.24524592646388427
XLE,causal_run_length,-0.22818734533827906,0.7959751236371047,0.22818734533827906
XLE,causal_current_sign,-0.15026909191303295,0.8604763980284531,0.15026909191303295
XLE,causal_theta_so_far,-0.07318775693810187,0.9294263074047193,0.07318775693810187
XLE,d_theta,-0.0487027408309914,0.9524642163428305,0.0487027408309914
XLE,d_amp_z,0.043576601301280875,1.0445400043711246,0.043576601301280875
XLE,theta,-0.036191191721443985,0.9644558798745771,0.036191191721443985
XLF,amp_z,1.8350856050016915,6.265670495211616,1.8350856050016915
XLF,d_causal_theta_so_far,0.3993809445689891,1.4909014612568126,0.3993809445689891
XLF,sigma_local,-0.3914085693892029,0.6761038642580929,0.3914085693892029
XLF,d_viscosity,0.3129374599312296,1.3674360088113204,0.3129374599312296
XLF,d_amp_z,-0.25834821650388856,0.772326248531261,0.25834821650388856
XLF,d_sigma_local,-0.23631297939655477,0.7895335275319478,0.23631297939655477
XLF,causal_theta_so_far,-0.15853706557931807,0.8533913317606111,0.15853706557931807
XLF,d_theta,-0.12271768681364358,0.884513337094526,0.12271768681364358
XLF,theta,-0.07260883973440242,0.9299645240600556,0.07260883973440242
XLF,viscosity,-0.06307394808783313,0.9388740431818288,0.06307394808783313
XLF,causal_current_sign,0.04817511195147286,1.0493543937322785,0.04817511195147286
XLF,causal_run_length,0.026736491391799816,1.0270971181691002,0.026736491391799816
XLI,amp_z,1.3301320432031611,3.7815426816124336,1.3301320432031611
XLI,sigma_local,-0.6033575905888608,0.5469720413408443,0.6033575905888608
XLI,causal_current_sign,-0.4317104791060599,0.6493973635759928,0.4317104791060599
XLI,d_viscosity,0.4092975324562875,1.5057596662151262,0.4092975324562875
XLI,viscosity,-0.22576781233282606,0.7979033434753621,0.22576781233282606
XLI,d_causal_theta_so_far,0.1795673585610344,1.1966995093096613,0.1795673585610344
XLI,causal_run_length,-0.17237910045261434,0.8416600389786398,0.17237910045261434
XLI,d_sigma_local,-0.162595171938887,0.8499351963954787,0.162595171938887
XLI,d_amp_z,0.11893354169305302,1.126295064137955,0.11893354169305302
XLI,d_theta,-0.09219423860280945,0.9119280007203545,0.09219423860280945
XLI,causal_theta_so_far,0.07312736831253623,1.0758675596239244,0.07312736831253623
XLI,theta,0.02208953563097073,1.0223353158102837,0.02208953563097073
XLK,viscosity,-1.8252776527155818,0.16117288782672648,1.8252776527155818
XLK,d_causal_theta_so_far,1.5563464168717127,4.74146621944615,1.5563464168717127
XLK,amp_z,1.2507035353559939,3.492799401133126,1.2507035353559939
XLK,causal_theta_so_far,-1.058115849970737,0.34710920040439724,1.058115849970737
