segment_id,start_pos,end_pos,start_time,end_time,length,net_return,theta_mean,amp_z_mean,sigma_mean,viscosity_mean,sign_global
87,891,894,2019-08-05 00:00:00+00:00,2019-08-08 00:00:00+00:00,4,-0.018344709948635574,-0.02999483640381225,1.1885947635144578,0.024208050464479068,11.517984435743736,-1.0
88,895,897,2019-08-09 00:00:00+00:00,2019-08-13 00:00:00+00:00,3,-0.014062829503725949,-0.001436485261132434,1.0026635181180772,0.02450291968580949,1.0911154952168376,-1.0
89,898,936,2019-08-14 00:00:00+00:00,2019-10-08 00:00:00+00:00,39,0.128261221891234,0.013258883625534963,0.739132371071279,0.02843361737743641,1.6337601046129302,1.0
90,937,944,2019-10-09 00:00:00+00:00,2019-10-18 00:00:00+00:00,8,0.072151426246988,0.021938040924468966,0.7474336568432332,0.0221068233396493,1.1990221766179272,1.0
91,945,964,2019-10-21 00:00:00+00:00,2019-11-15 00:00:00+00:00,20,0.0694510978054581,0.011872794259649091,0.5709423090365086,0.020205759188080825,0.8475534437702551,1.0
92,965,965,2019-11-18 00:00:00+00:00,2019-11-18 00:00:00+00:00,1,0.03885526622523239,0.038835730242752046,2.2204615954525746,0.01749872373392567,0.5895063354409571,1.0
93,966,966,2019-11-19 00:00:00+00:00,2019-11-19 00:00:00+00:00,1,-0.020416055630386953,-0.02041321976460127,1.1158706394932987,0.01829606743748648,0.34445076550867765,-1.0
94,967,970,2019-11-20 00:00:00+00:00,2019-11-25 00:00:00+00:00,4,0.06162244344674961,0.035171858024280994,0.9351523826794531,0.01824016393817776,0.5390430731904632,1.0
95,971,993,2019-11-26 00:00:00+00:00,2019-12-30 00:00:00+00:00,23,0.049741010614870795,0.002323254607257186,0.6028758088738798,0.018504727129975185,0.8669933089711772,1.0
96,994,995,2019-12-31 00:00:00+00:00,2020-01-02 00:00:00+00:00,2,0.0321479160481406,0.01676150611785846,1.3337997064614395,0.012059361183266467,1.6555290909452978,1.0
97,996,1002,2020-01-03 00:00:00+00:00,2020-01-13 00:00:00+00:00,7,0.04908599439607575,0.012365158808299298,0.9093378002059379,0.012795383491858544,0.8211661432685301,1.0
98,1003,1011,2020-01-14 00:00:00+00:00,2020-01-27 00:00:00+00:00,9,-0.04787785139662781,-0.016166206534017985,0.901793605721025,0.013835020026121763,1.0921678642939066,-1.0
