segment_id,start_pos,end_pos,start_time,end_time,length,net_return,theta_mean,amp_z_mean,sigma_mean,viscosity_mean,sign_global
32,357,360,2017-06-20 00:00:00+00:00,2017-06-23 00:00:00+00:00,4,0.004785839331099773,0.0006407723487668863,0.7707974534350535,0.010485946420276976,0.4537064588791636,1.0
33,361,366,2017-06-26 00:00:00+00:00,2017-07-03 00:00:00+00:00,6,-0.04362801692485441,-0.011138636785233825,1.0696712852515098,0.011320834736451785,0.7225988243355853,-1.0
34,367,393,2017-07-05 00:00:00+00:00,2017-08-10 00:00:00+00:00,27,0.04643278268020712,0.0037596080773172626,0.6902601154056527,0.009702242696831374,0.8593592487294122,1.0
35,394,397,2017-08-11 00:00:00+00:00,2017-08-16 00:00:00+00:00,4,0.036200328353729105,0.013439091177079195,1.1922758919750853,0.007687409942542947,16.853150271724832,1.0
36,398,408,2017-08-17 00:00:00+00:00,2017-08-31 00:00:00+00:00,11,0.0150926307663104,0.001818794791850071,0.7383820967416674,0.008730475097226202,0.8698434818019286,1.0
37,409,431,2017-09-01 00:00:00+00:00,2017-10-04 00:00:00+00:00,23,-0.0010702996149580812,-0.00040632393043083567,0.7256141798478954,0.008135565146765571,0.6956023115781477,-1.0
38,432,469,2017-10-05 00:00:00+00:00,2017-11-28 00:00:00+00:00,38,0.13290153084161105,0.020376582604411667,0.5783782590039039,0.010757649028120212,0.811000651144374,1.0
39,470,470,2017-11-29 00:00:00+00:00,2017-11-29 00:00:00+00:00,1,-0.01830990935426513,-0.018307863616412002,2.3664175387668256,0.007737385896671172,0.6046748896345535,-1.0
40,471,500,2017-11-30 00:00:00+00:00,2018-01-12 00:00:00+00:00,30,0.07242679659973206,0.002122982533380756,0.6753133283811577,0.011557841890635556,2.1212235355243907,1.0
41,501,501,2018-01-16 00:00:00+00:00,2018-01-16 00:00:00+00:00,1,-0.014049343035564377,-0.014048418772994741,1.6129919632803815,0.008710103475700079,0.45089084416413866,-1.0
42,502,511,2018-01-17 00:00:00+00:00,2018-01-30 00:00:00+00:00,10,0.04849365611817724,0.011488580185659592,0.9612968366971233,0.008366360387942301,0.7145995187435294,1.0
43,512,515,2018-01-31 00:00:00+00:00,2018-02-05 00:00:00+00:00,4,-0.05246299404796151,-0.019405983545479878,1.9237570400260822,0.012624368098519646,1.2645768239164532,-1.0
44,516,516,2018-02-06 00:00:00+00:00,2018-02-06 00:00:00+00:00,1,0.03714231884831687,0.0371252530537606,2.050278999242791,0.018115728815075543,0.4689681179561666,1.0
45,517,517,2018-02-07 00:00:00+00:00,2018-02-07 00:00:00+00:00,1,-0.019012199999660417,-0.019009909755982164,1.0168655430593767,0.01869685718114143,0.3385693084725302,-1.0
46,518,518,2018-02-08 00:00:00+00:00,2018-02-08 00:00:00+00:00,1,-0.05269790734204083,-0.05264920654763607,2.374580619749358,0.02219250134442561,1.5643991430083322,-1.0
47,519,548,2018-02-09 00:00:00+00:00,2018-03-23 00:00:00+00:00,30,0.029892592704619858,0.0011633549596043835,0.6833533840184478,0.019214928650145246,49.9220870165275,1.0
48,549,549,2018-03-26 00:00:00+00:00,2018-03-26 00:00:00+00:00,1,0.07297634224360117,0.07284720831638491,3.349018100997305,0.021790359607697707,0.7121393370050864,1.0
49,550,552,2018-03-27 00:00:00+00:00,2018-03-29 00:00:00+00:00,3,-0.0271293691351131,-0.025882218555018897,0.9490463116914185,0.024164880939305106,0.4567197482680665,-1.0
50,553,572,2018-04-02 00:00:00+00:00,2018-04-27 00:00:00+00:00,20,0.04864918985716482,0.002670805854816852,0.6019846097205689,0.024669390657506805,0.8875812293034366,1.0
51,573,573,2018-04-30 00:00:00+00:00,2018-04-30 00:00:00+00:00,1,-0.02429606641810267,-0.024291287463959973,1.4812143269376257,0.01640279273843569,0.5968002897208533,-1.0
52,574,574,2018-05-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,1,0.0157016441090585,0.015700353930270573,0.9521411441133996,0.016490868696014464,0.3925634736708562,1.0
53,575,596,2018-05-02 00:00:00+00:00,2018-06-01 00:00:00+00:00,22,0.06348724318553955,0.005412061509045012,0.6096021975570083,0.012419038622875071,1.9277030160930486,1.0
54,597,600,2018-06-04 00:00:00+00:00,2018-06-07 00:00:00+00:00,4,0.0008926452560951148,-0.004314859783236611,1.0078128676937914,0.007890055989387796,1.1041599885756552,1.0
